time,close
1402963200,632606.48
1403049600,632606.48
1403136000,632606.48
1403222400,632606.48
1403308800,632606.48
1403395200,632606.48
1403481600,629811.48
1403568000,627162.15
1403654400,627162.15
1403740800,627162.15
1403827200,627162.15
1403913600,627162.15
1404000000,627162.15
1404086400,627162.15
1404172800,627162.15
1404259200,627162.15
1404345600,627162.15
1404432000,627162.15
1404518400,627162.15
1404604800,657763.03
1404691200,634610.02
1404777600,1084976.4
1404864000,1084976.4
1404950400,1084976.4
1405036800,644536.22
1405123200,644536.22
1405209600,644536.22
1405296000,644536.22
1405382400,652920.56
1405468800,659752.72
1405555200,659752.72
1405641600,661286.31
1405728000,664749.42
1405814400,664749.42
1405900800,652564.26
1405987200,656890.18
1406073600,656890.18
1406160000,656890.18
1406246400,656890.18
1406332800,656890.18
1406419200,656890.18
1406505600,656890.18
1406592000,656890.18
1406678400,656890.18
1406764800,656890.18
1406851200,656890.18
1406937600,656890.18
1407024000,621421.05
1407110400,621421.05
1407196800,621421.05
1407283200,621118.01
1407369600,619195.05
1407456000,635021.43
1407542400,635021.43
1407628800,635021.43
1407715200,635021.43
1407801600,635021.43
1407888000,586424.28
1407974400,586424.28
1408060800,586424.28
1408147200,586424.28
1408233600,586424.28
1408320000,515132.0
1408406400,503018.11
1408492800,503018.11
1408579200,503018.11
1408665600,503018.11
1408752000,503018.11
1408838400,503018.11
1408924800,503018.11
1409011200,533333.33
1409097600,533333.33
1409184000,533333.33
1409270400,533333.33
1409356800,533333.33
1409443200,533333.33
1409529600,495049.5
1409616000,495049.5
1409702400,495049.5
1409788800,497512.44
1409875200,513017.83
1409961600,513017.83
1410048000,506329.11
1410134400,506329.11
1410220800,506329.11
1410307200,506329.11
1410393600,511627.91
1410480000,511627.91
1410566400,511627.91
1410652800,511627.91
1410739200,511627.91
1410825600,511627.91
1410912000,511627.91
1410998400,480668.76
1411084800,480668.76
1411171200,480668.76
1411257600,428265.52
1411344000,428265.52
1411430400,477326.97
1411516800,473596.97
1411603200,473596.97
1411689600,434400.0
1411776000,434400.0
1411862400,434400.0
1411948800,434400.0
1412035200,434400.0
1412121600,434400.0
1412208000,419947.51
1412294400,419947.51
1412380800,419947.51
1412467200,419947.51
1412553600,419947.51
1412640000,363304.7
1412726400,363304.7
1412812800,423908.44
1412899200,409056.36
1412985600,409056.36
1413072000,409056.36
1413158400,409056.36
